年龄,P3,P10,P25,P50,P75,P90,P97
0个月,2.8,3.0,3.2,3.5,3.7,4.0,4.2
1个月,3.7,3.9,4.2,4.6,4.9,5.2,5.6
2个月,4.7,5.0,5.4,5.8,6.2,6.7,7.1
3个月,5.5,5.9,6.3,6.8,7.3,7.8,8.3
4个月,6.1,6.5,7.0,7.5,8.1,8.6,9.2
5个月,6.6,7.0,7.5,8.0,8.6,9.2,9.8
6个月,6.9,7.4,7.9,8.4,9.1,9.7,10.3
7个月,7.2,7.7,8.2,8.8,9.5,10.1,10.8
8个月,7.5,8.0,8.5,9.1,9.8,10.4,11.1
9个月,7.7,8.2,8.7,9.4,10.1,10.8,11.5
10个月,7.9,8.4,9.0,9.6,10.3,11.0,11.8
11个月,8.1,8.6,9.2,9.8,10.6,11.3,12.0
12个月,8.3,8.8,9.4,10.1,10.8,11.5,12.3
13个月,8.4,9.0,9.6,10.3,11.0,11.7,12.5
14个月,8.6,9.2,9.7,10.5,11.2,12.0,12.8
15个月,8.8,9.3,9.9,10.7,11.4,12.2,13.0
16个月,9.0,9.5,10.1,10.9,11.7,12.4,13.3
17个月,9.1,9.7,10.3,11.1,11.9,12.7,13.5
18个月,9.3,9.9,10.5,11.3,12.1,12.9,13.8
19个月,9.5,10.1,10.7,11.5,12.3,13.2,14.0
20个月,9.7,10.3,10.9,11.7,12.6,13.4,14.3
21个月,9.8,10.5,11.1,11.9,12.8,13.7,14.6
22个月,10.0,10.6,11.3,12.2,13.0,13.9,14.8
23个月,10.2,10.8,11.5,12.4,13.3,14.2,15.1
24个月,10.4,11.0,11.7,12.6,13.5,14.4,15.4
27个月,10.8,11.5,12.2,13.1,14.1,15.1,16.1
30个月,11.2,12.0,12.7,13.7,14.7,15.7,16.7
33个月,11.6,12.4,13.2,14.2,15.2,16.3,17.4
36个月,12.0,12.8,13.6,14.6,15.8,16.9,18.0
39个月,12.4,13.2,14.1,15.2,16.3,17.5,18.7
42个月,12.8,13.7,14.6,15.7,16.9,18.1,19.4
45个月,13.2,14.1,15.1,16.2,17.5,18.7,20.1
48个月,13.6,14.5,15.5,16.7,18.1,19.4,20.8
51个月,14.0,15.0,16.0,17.3,18.7,20.1,21.6
54个月,14.5,15.4,16.5,17.9,19.3,20.8,22.4
57个月,14.9,15.9,17.1,18.4,20.0,21.6,23.3
60个月,15.3,16.4,17.6,19.1,20.7,22.4,24.2
63个月,15.8,16.9,18.1,19.7,21.4,23.2,25.1
66个月,16.2,17.4,18.7,20.3,22.2,24.0,26.0
69个月,16.6,17.9,19.3,21.0,22.9,24.8,27.0
72个月,17.1,18.3,19.8,21.6,23.6,25.7,27.9
75个月,17.5,18.8,20.3,22.2,24.3,26.5,28.9
78个月,17.8,19.2,20.8,22.8,25.0,27.3,29.8
81个月,18.2,19.7,21.3,23.4,25.7,28.0,30.6
