年龄,P3,P10,P25,P50,P75,P90,P97
0月,11.1,11.7,12.3,13.1,13.8,14.5,15.3
1月,12.7,13.3,13.9,14.7,15.5,16.3,17.1
2月,13.9,14.5,15.2,16.1,17.0,17.9,18.9
3月,14.4,15.1,15.8,16.7,17.7,18.7,19.8
4月,14.7,15.4,16.2,17.1,18.1,19.1,20.2
5月,14.8,15.5,16.3,17.3,18.3,19.3,20.5
6月,14.9,15.6,16.4,17.3,18.4,19.4,20.5
7月,14.9,15.6,16.3,17.3,18.3,19.3,20.5
8月,14.8,15.5,16.3,17.2,18.2,19.2,20.3
9月,14.8,15.4,16.2,17.1,18.1,19.1,20.2
10月,14.7,15.3,16.1,17.0,17.9,18.9,20.0
11月,14.6,15.2,15.9,16.8,17.8,18.7,19.8
12月,14.5,15.1,15.8,16.7,17.6,18.5,19.6
13月,14.4,15.0,15.7,16.5,17.4,18.4,19.4
14月,14.3,14.9,15.6,16.4,17.3,18.2,19.2
15月,14.2,14.8,15.5,16.3,17.2,18.1,19.0
16月,14.1,14.7,15.4,16.2,17.0,17.9,18.9
17月,14.0,14.6,15.3,16.0,16.9,17.8,18.7
18月,14.0,14.5,15.2,15.9,16.8,17.7,18.6
19月,13.9,14.5,15.1,15.9,16.7,17.6,18.5
20月,13.8,14.4,15.0,15.8,16.6,17.5,18.4
21月,13.8,14.3,14.9,15.7,16.5,17.4,18.3
22月,13.7,14.3,14.9,15.6,16.5,17.3,18.2
23月,13.7,14.2,14.8,15.6,16.4,17.2,18.1
24月,13.8,14.4,15.0,15.8,16.6,17.4,18.4
27月,13.7,14.2,14.8,15.6,16.4,17.3,18.2
30月,13.6,14.1,14.7,15.5,16.3,17.1,18.0
33月,13.5,14.0,14.6,15.4,16.2,17.0,17.9
36月,13.4,13.9,14.5,15.3,16.1,16.9,17.9
39月,13.3,13.9,14.5,15.2,16.1,16.9,17.8
42月,13.3,13.8,14.4,15.2,16.0,16.9,17.8
45月,13.2,13.7,14.4,15.1,16.0,16.8,17.8
48月,13.1,13.7,14.3,15.1,15.9,16.8,17.8
51月,13.1,13.6,14.3,15.0,15.9,16.8,17.8
54月,13.0,13.6,14.2,15.0,15.9,16.8,17.9
57月,13.0,13.6,14.2,15.0,15.9,16.8,17.9
60月,13.0,13.5,14.2,15.0,15.9,16.9,18.0
63月,12.9,13.5,14.2,15.0,15.9,16.9,18.0
66月,12.9,13.5,14.2,15.0,16.0,17.0,18.1
69月,12.9,13.5,14.2,15.0,16.0,17.0,18.2
72月,12.9,13.5,14.1,15.0,16.0,17.1,18.3
75月,12.8,13.5,14.1,15.0,16.0,17.1,18.4
78月,12.8,13.4,14.1,15.0,16.1,17.2,18.4
81月,12.8,13.4,14.1,15.0,16.1,17.2,18.5

