年龄(月),P3,P10,P25,P50,P75,P90,P97
0月,2.7,2.9,3.1,3.3,3.6,3.8,4.1
1月,3.5,3.7,4.0,4.3,4.6,4.9,5.3
2月,4.4,4.7,5.0,5.4,5.8,6.2,6.6
3月,5.1,5.4,5.8,6.2,6.7,7.2,7.6
4月,5.6,6.0,6.4,6.9,7.4,7.9,8.4
5月,6.0,6.4,6.9,7.4,7.9,8.5,9.1
6月,6.4,6.8,7.2,7.8,8.4,9.0,9.6
7月,6.7,7.1,7.6,8.1,8.8,9.4,10.0
8月,6.9,7.4,7.9,8.4,9.1,9.7,10.4
9月,7.2,7.6,8.1,8.7,9.4,10.0,10.8
10月,7.4,7.8,8.3,9.0,9.6,10.3,11.1
11月,7.6,8.0,8.6,9.2,9.9,10.6,11.4
12月,7.7,8.2,8.8,9.4,10.1,10.9,11.6
13月,7.9,8.4,9.0,9.6,10.4,11.1,11.9
14月,8.1,8.6,9.2,9.8,10.6,11.3,12.2
15月,8.3,8.8,9.3,10.0,10.8,11.6,12.4
16月,8.4,9.0,9.5,10.3,11.0,11.8,12.7
17月,8.6,9.1,9.7,10.5,11.3,12.1,12.9
18月,8.8,9.3,9.9,10.7,11.5,12.3,13.2
19月,9.0,9.5,10.1,10.9,11.7,12.6,13.5
20月,9.1,9.7,10.3,11.1,12.0,12.8,13.8
21月,9.3,9.9,10.5,11.3,12.2,13.1,14.0
22月,9.5,10.1,10.7,11.5,12.4,13.3,14.3
23月,9.7,10.3,10.9,11.7,12.6,13.6,14.6
24月,9.8,10.4,11.1,11.9,12.9,13.8,14.8
27月,10.3,10.9,11.6,12.5,13.5,14.4,15.5
30月,10.7,11.4,12.1,13.0,14.1,15.1,16.2
33月,11.1,11.8,12.6,13.6,14.6,15.7,16.9
36月,11.5,12.3,13.1,14.1,15.3,16.4,17.7
39月,12.0,12.7,13.6,14.7,15.9,17.1,18.4
42月,12.4,13.2,14.1,15.2,16.4,17.7,19.1
45月,12.8,13.6,14.5,15.7,17.0,18.3,19.8
48月,13.1,14.0,15.0,16.2,17.6,18.9,20.5
51月,13.5,14.4,15.4,16.7,18.1,19.6,21.1
54月,13.9,14.8,15.9,17.2,18.7,20.2,21.9
57月,14.3,15.3,16.4,17.8,19.3,20.9,22.6
60月,14.7,15.8,16.9,18.4,20.0,21.6,23.4
63月,15.1,16.2,17.5,19.0,20.7,22.4,24.3
66月,15.5,16.7,18.0,19.6,21.4,23.2,25.1
69月,15.9,17.1,18.5,20.2,22.0,23.9,26.0
72月,16.3,17.6,19.0,20.7,22.7,24.7,26.8
75月,16.7,18.0,19.5,21.3,23.3,25.4,27.6
78月,17.0,18.4,19.9,21.8,24.0,26.1,28.5
81月,17.4,18.8,20.4,22.4,24.6,26.8,29.3
