身长cm,P3,P10,P25,P50,P75,P90,P97
45,2.0,2.1,2.2,2.3,2.5,2.6,2.7
46,2.1,2.2,2.4,2.5,2.7,2.8,3.0
47,2.3,2.4,2.5,2.7,2.9,3.0,3.2
48,2.5,2.6,2.7,2.9,3.1,3.2,3.4
49,2.6,2.8,2.9,3.1,3.3,3.5,3.7
50,2.8,2.9,3.1,3.3,3.5,3.7,3.9
51,3.0,3.1,3.3,3.5,3.7,3.9,4.2
52,3.2,3.4,3.5,3.8,4.0,4.2,4.5
53,3.4,3.6,3.8,4.0,4.3,4.5,4.8
54,3.7,3.8,4.1,4.3,4.6,4.8,5.1
55,3.9,4.1,4.3,4.6,4.9,5.2,5.5
56,4.2,4.4,4.6,4.9,5.2,5.5,5.8
57,4.4,4.6,4.9,5.2,5.5,5.8,6.2
58,4.7,4.9,5.2,5.5,5.8,6.2,6.5
59,4.9,5.2,5.5,5.8,6.1,6.5,6.9
60,5.2,5.4,5.7,6.1,6.5,6.8,7.2
61,5.4,5.7,6.0,6.4,6.8,7.2,7.6
62,5.7,6.0,6.3,6.7,7.1,7.5,7.9
63,5.9,6.2,6.6,6.9,7.4,7.8,8.2
64,6.2,6.5,6.8,7.2,7.7,8.1,8.6
65,6.4,6.7,7.1,7.5,7.9,8.4,8.9
66,6.6,7.0,7.3,7.7,8.2,8.7,9.2
67,6.9,7.2,7.5,8.0,8.5,9.0,9.5
68,7.1,7.4,7.8,8.2,8.7,9.2,9.8
69,7.3,7.6,8.0,8.5,9.0,9.5,10.0
70,7.5,7.8,8.2,8.7,9.2,9.7,10.3
71,7.7,8.0,8.4,8.9,9.4,10.0,10.6
72,7.9,8.2,8.6,9.1,9.7,10.2,10.8
73,8.1,8.4,8.8,9.3,9.9,10.4,11.0
74,8.2,8.6,9.0,9.5,10.1,10.7,11.3
75,8.4,8.8,9.2,9.7,10.3,10.9,11.5
76,8.6,9.0,9.4,9.9,10.5,11.1,11.7
77,8.8,9.2,9.6,10.1,10.7,11.3,12.0
78,8.9,9.3,9.8,10.3,10.9,11.5,12.2
79,9.1,9.5,10.0,10.5,11.1,11.7,12.4
80,9.3,9.7,10.1,10.7,11.3,11.9,12.6
81,9.5,9.9,10.3,10.9,11.5,12.1,12.8
82,9.6,10.1,10.5,11.1,11.7,12.3,13.0
83,9.8,10.2,10.7,11.3,11.9,12.6,13.3
84,10.0,10.4,10.9,11.5,12.1,12.8,13.5
85,10.2,10.6,11.1,11.7,12.3,13.0,13.7
86,10.4,10.8,11.3,11.9,12.6,13.2,14.0
87,10.6,11.0,11.5,12.1,12.8,13.5,14.2
88,10.8,11.2,11.7,12.3,13.0,13.7,14.4
89,11.0,11.4,11.9,12.6,13.2,13.9,14.7
90,11.2,11.6,12.1,12.8,13.5,14.2,14.9
91,11.4,11.8,12.4,13.0,13.7,14.4,15.2
92,11.6,12.0,12.6,13.2,13.9,14.7,15.4
93,11.8,12.3,12.8,13.4,14.2,14.9,15.7
94,12.0,12.5,13.0,13.7,14.4,15.2,15.9
95,12.2,12.7,13.2,13.9,14.7,15.4,16.2
96,12.4,12.9,13.5,14.2,14.9,15.7,16.6
97,12.6,13.1,13.7,14.4,15.2,16.0,16.8
98,12.9,13.4,14.0,14.7,15.4,16.2,17.1
99,13.1,13.6,14.2,14.9,15.7,16.5,17.4
100,13.3,13.9,14.5,15.2,16.0,16.8,17.7
