身高cm,P3,P10,P25,P50,P75,P90,P97
75,8.5,8.9,9.4,9.9,10.5,11.0,11.7
76,8.7,9.1,9.5,10.1,10.7,11.2,11.9
77,8.9,9.3,9.7,10.3,10.9,11.5,12.1
78,9.1,9.5,9.9,10.5,11.1,11.7,12.3
79,9.2,9.6,10.1,10.6,11.3,11.9,12.5
80,9.4,9.8,10.3,10.8,11.5,12.1,12.7
81,9.6,10.0,10.5,11.0,11.7,12.3,13.0
82,9.8,10.2,10.7,11.2,11.9,12.5,13.2
83,9.9,10.4,10.8,11.4,12.1,12.7,13.4
84,10.1,10.6,11.0,11.6,12.3,12.9,13.6
85,10.3,10.8,11.2,11.8,12.5,13.2,13.9
86,10.5,11.0,11.5,12.1,12.7,13.4,14.1
87,10.7,11.2,11.7,12.3,12.9,13.6,14.4
88,10.9,11.4,11.9,12.5,13.2,13.9,14.6
89,11.1,11.6,12.1,12.7,13.4,14.1,14.9
90,11.3,11.8,12.3,12.9,13.6,14.3,15.2
91,11.5,12.0,12.5,13.2,13.9,14.6,15.5
92,11.7,12.2,12.7,13.4,14.1,14.8,15.7
93,11.9,12.4,12.9,13.6,14.3,15.1,16.0
94,12.1,12.6,13.2,13.8,14.6,15.3,16.3
95,12.3,12.8,13.4,14.1,14.8,15.6,16.5
96,12.6,13.1,13.6,14.3,15.1,15.9,16.8
97,12.8,13.3,13.9,14.6,15.4,16.1,17.1
98,13.0,13.6,14.1,14.8,15.6,16.4,17.4
99,13.3,13.8,14.4,15.1,15.9,16.7,17.6
100,13.5,14.1,14.7,15.4,16.2,17.0,17.9
101,13.8,14.3,14.9,15.7,16.5,17.3,18.3
102,14.0,14.6,15.2,16.0,16.8,17.7,18.6
103,14.3,14.8,15.5,16.3,17.1,18.0,18.9
104,14.5,15.1,15.8,16.6,17.4,18.3,19.3
105,14.8,15.4,16.0,16.8,17.7,18.7,19.7
106,15.0,15.6,16.3,17.1,18.1,19.0,20.0
107,15.3,15.9,16.6,17.4,18.4,19.3,20.4
108,15.5,16.2,16.9,17.8,18.7,19.7,20.8
109,15.8,16.5,17.2,18.1,19.1,20.1,21.2
110,16.1,16.7,17.5,18.4,19.4,20.5,21.6
111,16.3,17.0,17.8,18.7,19.8,20.9,22.0
112,16.6,17.3,18.1,19.1,20.2,21.3,22.5
113,16.9,17.6,18.4,19.4,20.6,21.7,23.0
114,17.2,17.9,18.8,19.8,21.0,22.2,23.5
115,17.4,18.2,19.1,20.2,21.4,22.7,24.0
116,17.8,18.6,19.5,20.6,21.9,23.2,24.6
117,18.1,18.9,19.9,21.0,22.4,23.7,25.2
118,18.4,19.3,20.3,21.5,22.9,24.3,25.9
119,18.7,19.6,20.7,21.9,23.4,24.9,26.6
120,19.0,20.0,21.1,22.4,23.9,25.5,27.3
121,19.4,20.4,21.5,22.9,24.5,26.1,28.0
122,19.7,20.8,21.9,23.4,25.1,26.8,28.7
123,20.1,21.2,22.4,23.9,25.7,27.5,29.5
124,20.4,21.6,22.8,24.4,26.3,28.2,30.3
125,20.8,22.0,23.3,25.0,26.9,28.9,31.1
126,21.1,22.4,23.8,25.5,27.5,29.6,32.0
127,21.5,22.8,24.2,26.0,28.1,30.3,32.8
128,21.8,23.2,24.7,26.6,28.8,31.1,33.7
129,22.2,23.6,25.1,27.1,29.4,31.8,34.5
130,22.5,24.0,25.6,27.7,30.1,32.5,35.4
