年龄,P3,P10,P25,P50,P75,P90,P97
0月,11.2,11.8,12.5,13.2,14.0,14.8,15.5
1月,13.0,13.6,14.3,15.1,16.0,16.8,17.6
2月,14.3,15.0,15.8,16.7,17.6,18.5,19.5
3月,14.9,15.7,16.5,17.4,18.5,19.5,20.5
4月,15.2,16.0,16.8,17.8,18.8,19.9,21.0
5月,15.3,16.1,16.9,17.9,19.0,20.0,21.1
6月,15.3,16.1,16.9,17.9,18.9,20.0,21.1
7月,15.3,16.0,16.8,17.8,18.9,19.9,21.0
8月,15.3,16.0,16.8,17.7,18.8,19.8,20.9
9月,15.2,15.9,16.7,17.6,18.6,19.6,20.7
10月,15.1,15.8,16.5,17.5,18.5,19.4,20.5
11月,15.0,15.7,16.4,17.3,18.3,19.2,20.3
12月,14.9,15.5,16.3,17.1,18.1,19.1,20.1
13月,14.8,15.4,16.1,17.0,17.9,18.9,19.9
14月,14.7,15.3,16.0,16.8,17.8,18.7,19.7
15月,14.6,15.2,15.9,16.7,17.6,18.5,19.5
16月,14.5,15.1,15.8,16.6,17.5,18.4,19.4
17月,14.4,15.0,15.7,16.5,17.4,18.3,19.2
18月,14.3,14.9,15.6,16.4,17.2,18.1,19.1
19月,14.2,14.8,15.5,16.3,17.1,18.0,19.0
20月,14.2,14.8,15.4,16.2,17.0,17.9,18.9
21月,14.1,14.7,15.3,16.1,17.0,17.8,18.8
22月,14.0,14.6,15.2,16.0,16.9,17.7,18.7
23月,14.0,14.6,15.2,15.9,16.8,17.6,18.6
24月,14.1,14.7,15.3,16.1,17.0,17.9,18.8
27月,14.0,14.5,15.2,15.9,16.8,17.6,18.6
30月,13.9,14.4,15.0,15.8,16.6,17.4,18.4
33月,13.7,14.3,14.9,15.6,16.5,17.3,18.2
36月,13.7,14.2,14.8,15.5,16.3,17.2,18.1
39月,13.6,14.1,14.7,15.4,16.3,17.1,18.0
42月,13.5,14.1,14.7,15.4,16.2,17.0,17.9
45月,13.5,14.0,14.6,15.3,16.2,17.0,17.9
48月,13.4,14.0,14.6,15.3,16.1,17.0,17.9
51月,13.4,13.9,14.5,15.3,16.1,17.0,17.9
54月,13.4,13.9,14.5,15.3,16.1,17.0,18.0
57月,13.3,13.9,14.5,15.3,16.1,17.1,18.1
60月,13.3,13.8,14.5,15.3,16.2,17.1,18.2
63月,13.2,13.8,14.5,15.3,16.2,17.2,18.3
66月,13.2,13.8,14.5,15.3,16.3,17.3,18.5
69月,13.2,13.8,14.5,15.3,16.3,17.4,18.6
72月,13.2,13.8,14.5,15.4,16.4,17.5,18.8
75月,13.1,13.8,14.5,15.4,16.5,17.6,19.0
78月,13.1,13.8,14.5,15.4,16.5,17.7,19.2
81月,13.1,13.7,14.5,15.4,16.6,17.8,19.4
